frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_mean,reproj_p90,visibility_mean,delta_t,delta_rot_deg
37,1,277,276,1.106337547302246,1.9105838775634767,1.0,0.04551740735769272,1.5924989865300996
38,1,277,276,1.122841715812683,1.905051851272583,1.0,0.07889329642057419,2.3351483350116173
39,1,277,274,1.136247992515564,1.8553839445114138,1.0,0.07793406397104263,2.4815966936912446
40,1,277,277,1.1853265762329102,1.9598454236984253,1.0,0.09632901847362518,2.3183244008170414
41,1,271,266,1.238020896911621,2.0595743656158447,1.0,0.13636091351509094,4.758269623917659
42,1,249,238,4.446028232574463,7.177839183807375,1.0,3.511817216873169,132.65399496914188
43,1,231,230,1.247502326965332,2.278923511505127,1.0,3.5407826900482178,135.65728170817994
44,1,216,214,1.2831193208694458,2.3696515560150146,1.0,0.029401499778032303,1.1408957956530446
45,1,176,169,2.8445398807525635,4.911418199539185,1.0,1.036608338356018,37.02791289207011
46,1,163,159,2.9254207611083984,5.197750663757324,1.0,0.17115552723407745,6.440407007002429
47,1,154,154,1.3563390970230103,2.6304480314254777,1.0,2.878213882446289,86.43449193745072
48,1,141,138,1.3218762874603271,2.5117437839508057,1.0,0.0802575945854187,2.3506865942861856
49,1,141,138,1.3272874355316162,2.586562156677246,1.0,0.01842770166695118,0.9585875711351034
50,1,141,140,1.267669677734375,2.4442903995513916,1.0,0.048073478043079376,2.0019339857945426
51,1,141,140,1.1544195413589478,2.141143798828125,1.0,0.06780087202787399,3.3431630666090504
52,1,141,140,1.0798311233520508,1.982204794883728,1.0,0.05863010510802269,2.7285001146258216
53,1,141,140,0.9679089188575745,1.7407118082046509,1.0,0.12158187478780746,5.4376864123420585
54,1,141,140,0.8813304305076599,1.6169787645339966,1.0,0.11124713718891144,5.051056215309811
55,1,141,141,0.7913995981216431,1.4138966798782349,1.0,0.21193194389343262,8.57940704490161
56,1,141,141,0.7296844124794006,1.2484827041625977,1.0,0.09517840296030045,3.8196727082434254
57,1,141,141,0.5956670045852661,1.0530205965042114,1.0,0.27055516839027405,9.91504410968244
58,1,141,141,0.47888222336769104,0.7606194615364075,1.0,0.6164377927780151,19.17286101747316
59,1,141,141,0.5189580321311951,0.8726208806037903,1.0,0.21924391388893127,6.349527203686778
60,1,141,141,0.5386782288551331,0.8691129088401794,1.0,0.04631827399134636,1.4690039327918796
61,1,141,141,0.4724239706993103,0.802105724811554,1.0,0.20640714466571808,6.836498466859934
62,1,141,141,0.5980173945426941,0.9931088089942932,1.0,0.08359909057617188,1.7098345895617357
63,1,141,141,0.9460798501968384,1.7648752927780151,1.0,0.8194262981414795,26.88625727685556
64,1,141,141,0.5467541813850403,0.9220860600471497,1.0,0.16245368123054504,3.8215178032461967
65,1,141,141,1.10295569896698,2.0333733558654785,1.0,1.0012590885162354,29.425940283050593
