setting,interaction_name,contact_type,body_part,status,gt_mask_path,predicted_mask_path,width,height,image_diagonal_px,gt_pixels,predicted_pixels,intersection_pixels,union_pixels,gt_centroid_x,gt_centroid_y,predicted_centroid_x,predicted_centroid_y,containment,centroid_distance_px,centroid_distance_normalized,iou
round1,interaction_14,object,hips,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_14/contact_masks_gt/hips.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_14/rounds/round_01/contact_masks/hips.png,1149,766,1380.926138502708,1063,1063,1063,1063,696.3226716839134,437.5757290686736,696.3226716839134,437.5757290686736,1.0,0.0,0.0,1.0
round1,interaction_14,object,left hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_14/contact_masks_gt/left_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_14/rounds/round_01/contact_masks/left_hand.png,1149,766,1380.926138502708,882,882,882,882,425.3299319727891,454.47392290249434,425.3299319727891,454.47392290249434,1.0,0.0,0.0,1.0
round1,interaction_14,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_14/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_14/rounds/round_01/contact_masks/right_hand.png,1149,766,1380.926138502708,494,494,494,494,511.47165991902835,448.7874493927126,511.47165991902835,448.7874493927126,1.0,0.0,0.0,1.0
round1,interaction_15,object,hips,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_15/contact_masks_gt/hips.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_15/rounds/round_01/contact_masks/hips.png,945,630,1135.7486517711566,1093,932,553,1472,426.98627630375114,323.6788655077768,419.90557939914163,330.8809012875536,0.5933476394849786,10.099781583189442,0.008892620358773235,0.375679347826087
round1,interaction_15,object,left hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_15/contact_masks_gt/left_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_15/rounds/round_01/contact_masks/left_hand.png,945,630,1135.7486517711566,1635,924,367,2192,528.9840978593272,195.24648318042813,519.8971861471862,186.517316017316,0.3971861471861472,12.600409668967158,0.011094364628403741,0.16742700729927007
round1,interaction_15,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_15/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_15/rounds/round_01/contact_masks/right_hand.png,945,630,1135.7486517711566,1424,563,461,1526,558.0589887640449,243.95365168539325,556.1314387211368,256.9982238010657,0.8188277087033747,13.186216699603204,0.011610153953552842,0.3020969855832241
round1,interaction_15,floor,left foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_15/contact_masks_gt/left_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_15/rounds/round_01/contact_masks/left_foot.png,945,630,1135.7486517711566,94224,94224,94224,94224,361.5515579894719,550.3081168279843,361.5515579894719,550.3081168279843,1.0,0.0,0.0,1.0
round1,interaction_15,floor,right foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_15/contact_masks_gt/right_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_15/rounds/round_01/contact_masks/right_foot.png,945,630,1135.7486517711566,94224,94224,94224,94224,361.5515579894719,550.3081168279843,361.5515579894719,550.3081168279843,1.0,0.0,0.0,1.0
round1,interaction_16,object,hips,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_16/contact_masks_gt/hips.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_16/rounds/round_01/contact_masks/hips.png,1482,988,1781.1423300792108,6152,4530,2844,7838,816.709200260078,516.1703511053316,831.8955849889625,511.8847682119205,0.6278145695364239,15.779496248929942,0.008859200066413669,0.3628476652207196
round1,interaction_16,object,left hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_16/contact_masks_gt/left_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_16/rounds/round_01/contact_masks/left_hand.png,1482,988,1781.1423300792108,3559,2927,0,6486,957.0177016015734,547.7198651306546,1055.95490263068,568.7106252135292,0.0,101.13941742135276,0.05678345616369406,0.0
round1,interaction_16,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_16/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_16/rounds/round_01/contact_masks/right_hand.png,1482,988,1781.1423300792108,3446,1256,330,4372,689.8450377248985,511.02988972721994,632.6035031847134,504.27866242038215,0.2627388535031847,57.638288894308715,0.0323602936839671,0.07548032936870998
round1,interaction_18,object,left foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_18/contact_masks_gt/left_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_18/rounds/round_01/contact_masks/left_foot.png,1185,790,1424.1927538082757,887,745,0,1632,552.3528748590755,493.44419391206316,558.7986577181208,662.9181208053691,0.0,169.59646226647408,0.11908252012445296,0.0
round1,interaction_18,object,right foot,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_18/contact_masks_gt/right_foot.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_18/rounds/round_01/contact_masks/right_foot.png,1185,790,1424.1927538082757,1696,750,0,2446,563.722287735849,641.5,555.9973333333334,582.8106666666666,0.0,59.19554685643221,0.0415642803252186,0.0
round1,interaction_18,object,left hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_18/contact_masks_gt/left_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_18/rounds/round_01/contact_masks/left_hand.png,1185,790,1424.1927538082757,779,449,0,1228,456.65596919127086,312.2734274711168,534.3986636971047,325.0556792873051,0.0,78.78649954478148,0.05532010981948002,0.0
round1,interaction_18,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_18/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_18/rounds/round_01/contact_masks/right_hand.png,1185,790,1424.1927538082757,621,548,0,1169,534.5732689210951,325.33816425120773,427.30109489051097,304.16058394160586,0.0,109.3426231120214,0.07677515758989815,0.0
round1,interaction_20,object,hips,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_20/contact_masks_gt/hips.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_20/rounds/round_01/contact_masks/hips.png,792,528,951.8655367224932,4499,2472,2264,4707,317.76683707490554,280.06268059568794,327.3046116504854,280.9425566343042,0.9158576051779935,9.578273628264588,0.010062633070260046,0.4809857658806034
round1,interaction_20,object,left leg,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_20/contact_masks_gt/left_leg.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_20/rounds/round_01/contact_masks/left_leg.png,792,528,951.8655367224932,8983,8057,0,17040,410.7183568963598,377.8963597907158,277.2231599851061,352.7860245749038,0.0,135.83628577454863,0.14270533025312201,0.0
round1,interaction_20,object,right leg,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_20/contact_masks_gt/right_leg.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_20/rounds/round_01/contact_masks/right_leg.png,792,528,951.8655367224932,7937,6763,0,14700,272.9509890386796,370.69119314602494,404.69702794617774,353.6291586574006,0.0,132.84627126384473,0.13956411503379676,0.0
round1,interaction_20,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_20/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_20/rounds/round_01/contact_masks/right_hand.png,792,528,951.8655367224932,559,221,218,562,431.5635062611807,115.04830053667263,434.5656108597285,118.4524886877828,0.9864253393665159,4.538846658434372,0.004768369568313962,0.3879003558718861
round1,interaction_21,object,hips,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_21/contact_masks_gt/hips.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_21/rounds/round_01/contact_masks/hips.png,1059,706,1272.7596002387882,11362,2435,433,13364,391.92281288505546,387.3857595493751,299.0767967145791,403.1088295687885,0.17782340862423,94.1679226146767,0.07398720276555716,0.032400478898533376
round1,interaction_21,object,right hand,ok,/my_workspace/4DHHOI/4DHSI/00_Annotate_GT_Contact/output/interaction_21/contact_masks_gt/right_hand.png,/my_workspace/4DHHOI/4DHSI/03_Estimate_Contact_Agentic/output/interaction_21/rounds/round_01/contact_masks/right_hand.png,1059,706,1272.7596002387882,2629,596,581,2644,703.7626473944465,429.41156333206544,727.5889261744967,430.01006711409394,0.9748322147651006,23.833794647134397,0.018726077291157602,0.2197428139183056
