iter,total,root_orient_gvhmr_weight,root_orient_gvhmr_raw,root_orient_gvhmr_scaled,pose_gvhmr_weight,pose_gvhmr_raw,pose_gvhmr_scaled,height_prior_weight,height_prior_raw,height_prior_scaled,scene_intersect_weight,scene_intersect_raw,scene_intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,self_intersect_weight,self_intersect_raw,self_intersect_scaled,scene_intersect_num_scene_collision_points,scene_intersect_num_sdf_query_points,scene_intersect_num_inside_or_margin_points
1707,0.6622870564460754,0.0,0.025064941495656967,0.0,10.0,0.009315901435911655,0.09315901435911655,1.0,0.0001155111167463474,0.0001155111167463474,8.534267133566784,0.012390419840812683,0.10574315281854146,500.0,0.0008300411864183843,0.41502059320919216,0.0008534267133566783,56.535438537597656,0.04824885349932046,700000,700000,3004
1708,0.6615833044052124,0.0,0.02508498542010784,0.0,10.0,0.009322297759354115,0.09322297759354115,1.0,0.00011535984231159091,0.00011535984231159091,8.539269634817408,0.01226032618433237,0.1046942310988262,500.0,0.0008313375292345881,0.4156687646172941,0.0008539269634817409,56.0726318359375,0.0478819322380917,700000,700000,3023
1709,0.6615857481956482,0.0,0.02509550005197525,0.0,10.0,0.00932711735367775,0.0932711735367775,1.0,0.00011470545723568648,0.00011470545723568648,8.544272136068034,0.012214956805109978,0.1043679150731758,500.0,0.0008319446351379156,0.4159723175689578,0.0008544272136068034,56.01365661621094,0.0478595925465174,700000,700000,3009
1710,0.6621509790420532,0.0,0.025087853893637657,0.0,10.0,0.009333377704024315,0.09333377704024315,1.0,0.00011360229109413922,0.00011360229109413922,8.549274637318659,0.012298455461859703,0.10514287335827029,500.0,0.0008314389851875603,0.41571949259378016,0.000854927463731866,55.95940399169922,0.04784123132657027,700000,700000,3022
1711,0.6615180969238281,0.0,0.02508711628615856,0.0,10.0,0.009338093921542168,0.09338093921542168,1.0,0.0001124546688515693,0.0001124546688515693,8.554277138569285,0.012308255769312382,0.1052882309430924,500.0,0.000830170523840934,0.415085261920467,0.0008554277138569284,55.704498291015625,0.04765117162463067,700000,700000,3013
1712,0.6618812680244446,0.0,0.025086184963583946,0.0,10.0,0.009342452511191368,0.09342452511191368,1.0,0.00011101597192464396,0.00011101597192464396,8.55927963981991,0.012375512160360813,0.10592546926652001,500.0,0.0008295587613247335,0.41477938066236675,0.000855927963981991,55.659873962402344,0.04764084259613328,700000,700000,3024
1713,0.6631092429161072,0.0,0.025089873000979424,0.0,10.0,0.009347029030323029,0.09347029030323029,1.0,0.00011032474139938131,0.00011032474139938131,8.564282141070535,0.01247326284646988,0.10682454223690062,500.0,0.0008298770990222692,0.4149385495111346,0.0008564282141070535,55.77296829223633,0.04776554362996928,700000,700000,3000
1714,0.6625218391418457,0.0,0.025083784013986588,0.0,10.0,0.009354858659207821,0.09354858659207821,1.0,0.00011007840657839552,0.00011007840657839552,8.569284642321161,0.01231471635401249,0.10552830972698048,500.0,0.0008311493438668549,0.41557467193342745,0.0008569284642321161,55.73416519165039,0.047760192582940036,700000,700000,2992
1715,0.662251889705658,0.0,0.025085166096687317,0.0,10.0,0.009363394230604172,0.09363394230604172,1.0,0.00010978316277032718,0.00010978316277032718,8.574287143571786,0.012258807197213173,0.10511053294659019,500.0,0.0008315569721162319,0.41577848605811596,0.0008574287143571786,55.53718566894531,0.0476191777071397,700000,700000,3011
1716,0.6620904207229614,0.0,0.025102928280830383,0.0,10.0,0.009368461556732655,0.09368461556732655,1.0,0.000109979955595918,0.000109979955595918,8.579289644822412,0.0122545026242733,0.105134927466877,500.0,0.0008308374090120196,0.4154187045060098,0.0008579289644822411,55.64820098876953,0.04774220344959467,700000,700000,3023
