frame_idx,num_active,sum_weight,visibility_mean,mask_gate_mean,reproj_mean_px,reproj_p50_px,reproj_p90_px
31,2049,2049.0,0.9962228536605835,0.9702549576759338,3.1088080406188965,2.713744640350342,5.784631252288818
32,2064,2064.0,1.0,0.9745042324066162,2.715620756149292,2.2914228439331055,5.170722007751465
33,2042,2042.0,1.0,0.9641170501708984,2.4828474521636963,2.0520153045654297,4.909938812255859
34,2035,2035.0,1.0,0.9608120918273926,2.333608865737915,1.9109729528427124,4.622323989868164
35,2044,2044.0,1.0,0.965061366558075,2.3051974773406982,1.8948196172714233,4.62675142288208
36,2051,2051.0,1.0,0.9683663845062256,2.450244903564453,1.9894208908081055,4.887135028839111
37,2050,2050.0,1.0,0.9678942561149597,2.611752510070801,2.1336920261383057,5.158973693847656
38,2048,2048.0,0.9995278716087341,0.9674220681190491,2.872211217880249,2.41109561920166,5.621757984161377
39,2051,2051.0,1.0,0.9683663845062256,3.080899953842163,2.6238887310028076,6.0362958908081055
40,2049,2049.0,1.0,0.9674220681190491,3.362497329711914,2.9037351608276367,6.4454145431518555
41,2042,2042.0,1.0,0.9641170501708984,3.771718978881836,3.2413365840911865,7.0907368659973145
42,2008,2008.0,0.9863077998161316,0.9603399038314819,4.21828031539917,3.7100329399108887,7.6584367752075195
43,1940,1940.0,0.9584513306617737,0.9532577991485596,4.210019111633301,3.6270031929016113,7.667318820953369
44,1900,1900.0,0.937204897403717,0.9480642080307007,4.265320301055908,3.703249931335449,7.6438517570495605
45,1603,1603.0,0.7832860946655273,0.9438149333000183,4.125678062438965,3.5395419597625732,7.721339225769043
46,1410,1410.0,0.6902738213539124,0.9338998794555664,3.8185641765594482,3.2667555809020996,7.330764293670654
47,1241,1241.0,0.6189801692962646,0.9612842202186584,3.564734935760498,2.9205727577209473,6.894595146179199
48,1104,1104.0,0.5623229146003723,0.9589235186576843,3.3611385822296143,2.69454288482666,6.4464921951293945
49,1100,1100.0,0.5604343414306641,0.9589235186576843,3.473320484161377,2.861626148223877,6.517118453979492
50,1111,1111.0,0.5599622130393982,0.9636449217796326,3.405707359313965,2.8496336936950684,6.475292682647705
51,1486,1486.0,0.7204909920692444,0.9475920796394348,3.989553451538086,3.502933979034424,7.5733795166015625
52,1785,1785.0,0.8649669289588928,0.9636449217796326,4.090836524963379,3.6836180686950684,7.120265483856201
53,2038,2038.0,0.9943342804908752,0.9678942561149597,3.728398084640503,3.348972797393799,6.642731189727783
54,2060,2060.0,1.0,0.972615659236908,3.219841957092285,2.827436685562134,5.98492956161499
55,2055,2055.0,1.0,0.9702549576759338,2.401262044906616,1.9446680545806885,4.688248157501221
56,2066,2066.0,1.0,0.9754485487937927,1.9780596494674683,1.5929325819015503,3.8644580841064453
57,2083,2083.0,1.0,0.9834749698638916,1.1714242696762085,0.9571764469146729,2.191819906234741
58,2031,2031.0,1.0,0.9589235186576843,0.9411656856536865,0.7881251573562622,1.7647297382354736
59,2023,2023.0,1.0,0.9551463723182678,0.8498669862747192,0.7201560139656067,1.50620698928833
60,2087,2087.0,1.0,0.9853635430335999,0.8739622831344604,0.7649190425872803,1.5285730361938477
61,2096,2096.0,1.0,0.9896128177642822,0.9596537351608276,0.8222689628601074,1.7588708400726318
