frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_inliers,reproj_inlier_ratio,reproj_mean,reproj_median,reproj_p90,visibility_mean,delta_t,delta_rot_deg
35,1,1999,1535,1535,0.7678839419709855,10.728769302368164,0.18022070825099945,56.87134704589844,0.9995,0.000797379354480654,0.0
36,1,1999,1535,1535,0.7678839419709855,10.705101013183594,0.17281295359134674,56.488232421875,0.9995,0.00018486649787519127,0.0
37,1,1999,1535,1535,0.7678839419709855,10.754859924316406,0.17770865559577942,56.4577377319336,0.9995,0.00011511513730511069,0.0
38,1,1999,1532,1533,0.7668834417208604,10.909869194030762,0.18519870936870575,56.70548629760743,0.9995,0.00023099759710021317,0.0
39,1,1999,1525,1525,0.7628814407203601,11.20323371887207,0.18627755343914032,57.694245147705075,0.9995,0.0009348629973828793,0.03956468264845247
40,1,1999,1522,1522,0.7613806903451726,11.432069778442383,0.19852358102798462,58.47940368652344,0.9995,0.00041309811058454216,0.0
41,1,1999,1510,1510,0.7553776888444222,12.018227577209473,0.21082623302936554,60.07909469604493,0.9995,0.00041248960769735277,0.027976455118293345
42,1,1999,1494,1494,0.7473736868434218,12.844526290893555,0.23203705251216888,63.02372741699219,0.9995,0.0016482420032843947,0.048456642643301504
43,1,1999,1484,1485,0.742871435717859,13.280993461608887,0.25438517332077026,64.8720687866211,0.9995,0.0015722921816632152,0.03956468264845247
44,1,1999,1475,1476,0.7383691845922962,13.706796646118164,0.2825872302055359,66.73243255615235,0.9995,0.00012987044465262443,0.0
45,1,1999,1457,1458,0.7293646823411706,14.215788841247559,0.3049985468387604,68.4924774169922,0.9995,0.0006267362623475492,0.0
