frame_idx,pnp_ok,num_alive,ransac_inliers,reproj_inliers,reproj_inlier_ratio,reproj_mean,reproj_median,reproj_p90,visibility_mean,delta_t,delta_rot_deg
22,1,715,676,694,0.9706293706293706,2.0496137142181396,1.6863194704055786,3.493496656417847,1.0,0.0573585145175457,1.6494819281252784
23,1,715,672,693,0.9692307692307692,2.1752493381500244,1.7895145416259766,3.7370956897735597,1.0,0.09629939496517181,3.0463254368297665
24,1,715,665,689,0.9636363636363636,2.1570959091186523,1.6035254001617432,4.0445380210876465,1.0,0.17223960161209106,5.245308817379672
25,1,715,670,660,0.9230769230769231,2.4920055866241455,1.793466329574585,5.201091098785401,1.0,1.8776063919067383,54.97053513189691
26,1,715,666,688,0.9622377622377623,2.1798417568206787,1.6124041080474854,4.067026519775393,1.0,1.9800947904586792,59.94401930497686
27,1,715,674,692,0.9678321678321679,2.0746052265167236,1.6270891427993774,3.763949155807495,1.0,0.09449664503335953,3.2345851406714803
28,1,715,694,699,0.9776223776223776,2.1346824169158936,1.8023546934127808,3.743099546432495,1.0,0.22119441628456116,6.899555424364193
29,1,715,673,687,0.9608391608391609,2.1231093406677246,1.708894968032837,3.628112173080445,1.0,0.5255724787712097,16.38286102349722
30,1,715,673,703,0.9832167832167832,2.11460280418396,1.8113962411880493,3.7371542930603034,1.0,0.29739752411842346,8.67846742163614
31,1,715,645,693,0.9692307692307692,2.2869338989257812,1.9243836402893066,4.29998083114624,1.0,0.429610013961792,12.18987266289296
32,1,715,673,677,0.9468531468531468,2.3005688190460205,1.8865923881530762,4.069443321228028,1.0,0.2529349625110626,8.828995049655068
33,1,715,643,680,0.951048951048951,2.409109115600586,1.9096978902816772,4.596516704559327,1.0,0.36065933108329773,10.440011842586555
34,1,715,643,681,0.9524475524475524,2.4402916431427,1.977471113204956,4.706598567962647,1.0,0.07417946308851242,2.349520622133495
35,1,715,684,682,0.9538461538461539,2.378661870956421,1.9699081182479858,4.281903266906739,1.0,0.3368053734302521,9.977326149491127
36,1,715,648,684,0.9566433566433566,2.3423449993133545,1.8575602769851685,4.461658096313477,1.0,0.25991833209991455,7.778191120790948
37,1,715,669,685,0.958041958041958,2.315121650695801,1.9372652769088745,4.258342933654785,1.0,0.29654157161712646,8.780356665772354
38,1,715,681,691,0.9664335664335665,2.270026206970215,1.8314145803451538,4.282240295410157,1.0,0.12421410530805588,3.7083455894598205
39,1,715,672,692,0.9678321678321679,2.177734136581421,1.8108060359954834,4.1971077919006365,1.0,0.2183082550764084,6.918689848857714
40,1,715,701,701,0.9804195804195804,2.078333854675293,1.751733422279358,3.822192716598511,1.0,0.12000199407339096,2.695007019190984
41,1,715,707,703,0.9832167832167832,2.0329971313476562,1.6969540119171143,3.6323451995849614,1.0,0.21767881512641907,6.610434529024216
42,1,715,698,665,0.9300699300699301,3.138246774673462,2.869213104248047,5.124394512176515,1.0,3.2485525608062744,105.47564818161419
43,1,715,709,670,0.9370629370629371,3.0568783283233643,2.8554224967956543,4.8769015312194846,1.0,0.10552289336919785,1.6828390137602958
44,1,715,666,676,0.9454545454545454,3.0200023651123047,2.8193438053131104,4.947379302978517,1.0,0.1961008459329605,8.087404962513693
45,1,715,702,680,0.951048951048951,3.1376450061798096,2.979083776473999,5.084001255035401,1.0,1.1025458574295044,29.37897188028392
46,1,715,706,673,0.9412587412587412,3.3636066913604736,3.113720417022705,5.489455509185791,1.0,1.037114143371582,27.337290176571422
