iter,total,mask_weight,mask_raw,mask_scaled,intersect_weight,intersect_raw,intersect_scaled,nocontact_weight,nocontact_raw,nocontact_scaled,floor_nocontact_weight,floor_nocontact_raw,floor_nocontact_scaled
20,9.291560173034668,500.0,2.7072052034782246e-05,0.013536026017391123,0.1425712856428214,0.0,0.0,500.0,0.016804173588752747,8.402086794376373,200.0,0.0031709528993815184,0.6341905798763037
21,8.651909828186035,500.0,2.8108826882089488e-05,0.014054413441044744,0.1500750375187594,0.0,0.0,500.0,0.01558896154165268,7.79448077082634,200.0,0.002998773939907551,0.5997547879815102
22,8.056400299072266,500.0,2.916765515692532e-05,0.01458382757846266,0.15757878939469736,0.0,0.0,500.0,0.014442015439271927,7.221007719635963,200.0,0.0028300327248871326,0.5660065449774265
23,7.495605945587158,500.0,3.022015152964741e-05,0.015110075764823705,0.16508254127063532,0.0,0.0,500.0,0.013364672660827637,6.682336330413818,200.0,0.0026630552019923925,0.5326110403984785
24,6.9688720703125,500.0,3.128976095467806e-05,0.01564488047733903,0.17258629314657328,0.0,0.0,500.0,0.01235225610435009,6.176128052175045,200.0,0.0024982700124382973,0.49965400248765945
25,6.473104476928711,500.0,3.237570126657374e-05,0.01618785063328687,0.18009004502251125,0.0011670952662825584,0.0002101822390503857,500.0,0.011396593414247036,5.698296707123518,200.0,0.002340732142329216,0.4681464284658432
26,6.027425289154053,500.0,3.3490388887003064e-05,0.016745194443501532,0.1875937968984492,0.0011201528832316399,0.00021013373247216855,500.0,0.010497475042939186,5.248737521469593,200.0,0.0021924134343862534,0.43848268687725067
27,5.592283248901367,500.0,3.463459142949432e-05,0.01731729571474716,0.1950975487743872,0.0007665235898457468,0.00014954687345664894,500.0,0.009649219922721386,4.824609961360693,200.0,0.0020477809011936188,0.40955618023872375
28,5.18278169631958,500.0,3.5786142689175904e-05,0.017893071344587952,0.20260130065032517,0.0010477142641320825,0.00021226827262305824,500.0,0.00885164737701416,4.42582368850708,200.0,0.0019141705706715584,0.3828341141343117
29,4.802379131317139,500.0,3.6961351725040004e-05,0.018480675862520002,0.21010505252626313,0.0014116655802354217,0.000296598070884881,500.0,0.008100373670458794,4.050186835229397,200.0,0.0017871937016025186,0.3574387403205037
30,4.444511890411377,500.0,3.81644131266512e-05,0.0190822065633256,0.2176088044022011,0.0015438370173797011,0.0003359525275438569,500.0,0.007395891472697258,3.697945736348629,200.0,0.0016689066542312503,0.33378133084625006
31,4.1132121086120605,500.0,3.943668707506731e-05,0.019718343537533656,0.22511255627813906,0.0009327564621344209,0.0002099751915760327,500.0,0.006736082956194878,3.368041478097439,200.0,0.0015589511021971703,0.31179022043943405
